surrogate,lr,alpha,best_acc,baseline_epoch
Esser,0.002,243.0,10.0,
Esser,0.002,493.0,10.0,
Esser,0.002,1000.0,10.0,
Esser,0.006,0.05,30.65,
Esser,0.006,0.101,44.52,
Esser,0.006,0.206,65.66,
Esser,0.006,0.417,69.11,
Esser,0.006,0.847,71.27,6.0
Esser,0.006,1.72,10.0,
Esser,0.006,3.49,10.0,
Esser,0.006,7.07,10.0,
Esser,0.006,14.3,10.0,
Esser,0.006,29.1,10.0,
Esser,0.006,59.0,10.0,
Esser,0.006,120.0,10.0,
Esser,0.006,243.0,10.0,
Esser,0.006,493.0,10.0,
Esser,0.006,1000.0,10.0,
Esser,0.03,0.05,10.0,
Esser,0.03,0.101,20.83,
Esser,0.03,0.206,53.28,
Esser,0.03,0.417,57.58,
Esser,0.03,0.847,47.07,
Esser,0.03,1.72,10.0,
Esser,0.03,3.49,10.0,
Esser,0.03,7.07,10.0,
Esser,0.03,14.3,10.0,
Esser,0.03,29.1,10.0,
Esser,0.03,59.0,10.0,
Esser,0.03,120.0,10.0,
Esser,0.03,243.0,10.0,
Esser,0.03,493.0,10.0,
Esser,0.03,1000.0,10.0,
Esser,0.1,0.05,10.0,
Esser,0.1,0.101,10.0,
Esser,0.1,0.206,10.0,
Esser,0.1,0.417,10.0,
Esser,0.1,0.847,10.0,
Esser,0.1,1.72,10.0,
Esser,0.1,3.49,10.0,
Esser,0.1,7.07,10.0,
Esser,0.1,14.3,10.0,
Esser,0.1,29.1,10.0,
Esser,0.1,59.0,10.0,
Esser,0.1,120.0,10.0,
Esser,0.1,243.0,10.0,
Esser,0.1,493.0,10.0,
Esser,0.1,1000.0,10.0,
